Stop Name,Latitude,Longitude,Num trips in stop,Boothcode,Routes with num trips
Hoskerehalli Cross,12.93032903,77.54355905,932,29171002,"{'346-T': 6, 'SNR-HLS': 3, 'JPV-45E': 7, 'CVB-HKH': 1, 'KMT-HKHR': 1, '201-H': 13, 'ABP-BSK': 9, 'HKH-KBS': 6, '45-F KBS-CKA': 1, '43-B': 46, 'ITPL-3N': 2, 'TR-7': 9, '43-H': 15, 'KMK-VSD': 1, 'SNR-KRM': 6, '46-A': 22, '45-E': 39, 'BSK-SNR': 5, '43-M': 11, '201-N': 29, '43-E': 32, 'D25-SNR': 2, 'SGH-BSK3': 1, '225-B JNN-KHBQ': 5, '45-J': 39, '500-DH': 22, '45-B': 29, '43-D': 16, '225-B': 6, '3-E': 24, '3-B': 2, 'JNR4T-SNR': 2, '225-B KHBQ-JNN': 6, '45-A': 20, '34-C': 3, '45-D': 50, 'JNR4T-GNR2': 3, 'CRS-PPLO': 3, '201-B': 11, '349-C': 19, 'D3-HKH': 1, 'BSK-GNE': 1, '43-C': 26, '45-F': 40, 'SNBS-HKH': 1, 'BSK3-IXP': 2, 'IXP-BSK3': 2, 'BSK3-KMT': 5, 'AGO-AGL': 1, '45-K': 13, '201-G BSK-DMLR': 8, '201-E': 10, '43-J': 15, '34-A': 12, 'CKA-KBS-GKVK': 3, '45-G': 46, 'KBS-GSHED-HSK': 1, 'PPLO-AGS-KBS': 2, '255 YTTMC-MTH': 4, 'KBS-AGS-PPLO': 6, 'JBS-HNR-KMT': 2, 'KMT-HNR-JBS': 2, 'PPLO-AGS-SBS': 1, 'AS-17': 14, 'KBS-AGSL-PPLO': 12, 'SBS-HNR-AGSL': 2, 'KBS-GSHR-AGSLO': 2, 'PPLO-KMT-KBS': 3, 'BTT-VSD-SBS': 1, '45-G KBS-PESC': 1, 'MF-16A': 35, '60-F DPJN-CKA': 1, 'HKLO-JCR-VSD-SBS': 1, 'MF-16A SBS-VJN': 1, 'GNR-CSB-KDG': 2, 'SBS-HNR-PPLO': 1, 'V-45G': 4, 'SGH-BSK-SNR': 4, 'V-Seetha Circle-KDG': 1, '600-C SNR-CPR': 1, 'BSK3-SGH': 1, 'KMT-HSK': 3}"
Hoskerehalli Petrol Bunk,12.93290845,77.54016280,1459,29171002,"{'346-T': 6, 'KMT-HKHR': 1, '501-GA': 39, '501-GA BSN-AGR': 2, 'HKH-KBS': 6, 'CSB-MTR': 4, 'ACC B-56': 2, 'D13G-RRN': 2, '374-F': 12, '500-J': 17, 'BTP-105': 0, 'D13G-BSN': 1, '43-H': 15, 'BEML5-NDH-BSK': 0, '510-A': 30, '500-KB': 11, 'ABP-BSK': 9, '600-K': 19, '600-KA': 12, '600-KC': 5, '43-M': 11, 'BSK-D12G': 7, 'BSN-NDH-BSK': 3, '201-P': 1, '501-A': 38, '223-J': 9, '500-KE': 15, 'BSK-BSN': 11, 'HSRC-GBV': 3, 'BDD-ITPL': 2, 'D13G-KNGC': 4, 'D13G-SWN': 3, 'D13G-VBN': 1, '225-B JNN-KHBQ': 5, 'D21G-D': 1, 'ATB-BBS': 4, 'CHAKRA-3A': 27, '43-D': 16, '225-B': 6, 'KWS-BGR': 1, '410-FA': 43, '501-BH': 24, 'BSK-HSKH': 1, '225-B KHBQ-JNN': 6, 'BSK-NDH-BEML5': 5, '34-C': 3, '410-FB': 11, 'V-600K': 31, '410-J D31G-JBS': 4, 'D3-HKH': 1, '43-C': 26, '401-S': 6, 'BTP-ITPL': 7, 'BSK-DPJN': 5, '501-B': 7, 'V-600KA': 3, 'D34G-UTH-BSK': 5, 'V-600KB': 13, 'SNBS-HKH': 1, '410-FC BSK-TVK': 3, 'BSK-NDH-GKW': 1, '410-A': 18, 'MBS-24': 3, '501 KGR-JPN6': 2, 'BEML5-BMH': 0, 'CLO-BSK': 8, '600-F D31G-ATB': 3, '410-G': 19, 'CHAKRA-3': 21, 'PSB-ATB': 1, 'V-500KE': 28, 'BDD-MKNHL': 1, 'BSK-MTR': 4, '43-J': 15, '600-KD SMH-ELCW': 1, '600-KD ELCW-SMH': 1, 'D13G-SVB': 2, '226-H': 11, 'YTTMC-BSK': 4, 'D13G-BUCG': 2, 'KRP-MRH-BSK-MTR': 3, 'MTR-BSK-MRHB-KRP': 3, 'V-500KC': 28, 'D33-AGSL-VBN': 1, 'KRPRS-HSK': 2, 'NICE-3A': 5, 'KBS-GSHED-HSK': 1, '201-M': 28, 'V-600KC': 7, 'PTH-BSK': 3, 'MCTC-BSK': 11, 'BSK-JHC': 13, 'KGRRO-KDG': 4, '502 BSN-KDG': 2, 'BSK-MNNK': 1, 'NDH MF-1': 33, 'BELGS-13': 2, '410 D31-CSB': 1, 'BSK-VPS': 2, 'MF-12': 51, 'D13G-MCTC': 4, 'PNN-RVCL': 1, '410 PSB-BMH': 8, 'MTR-MRHB-KDG': 2, 'VBN-PPLO': 1, '401-SA': 8, '401-BA': 20, 'HBL-RRN BEML5': 6, 'VCS-MEBP-22A VRBN-MEBP': 3, 'KGR-CSB-MRHB-HBL': 2, 'V-KHBC-BSK': 6, '410-K': 38, '600-KD': 17, '234-B': 2, '502 MRHB-KHBQ': 2, 'V-500KS': 33, 'VPS-1': 2, 'VCS-AMD-10 UTH-AMD': 1, 'VNS-2': 2, '45-G KBS-PESC': 1, 'JVS-4': 5, 'MF-19': 18, 'MF-19A': 18, 'MF-20': 28, 'MF-16A': 35, '410-E': 7, 'PPLO-NDHMS': 1, 'HPN-ACCB7': 2, 'BTP-47A': 2, 'ITPL-1A': 1, 'BTP-47B': 2, 'KGR-NDH-BSK': 3, 'KGRPS-NDH-BSK': 2, 'DPJN-PESIT-BSK': 2, '410-FA BSK-SMH': 5, 'BSN-BSK': 11, '410 DPJN-BMH': 3, '600-FD': 19, '600-FD DPJN-ATB': 1, '410-K BSK-PSB': 2, 'MF-16A SBS-VJN': 1, 'V-BUCG-KGR-NDH-BSK-CSB-MRHB': 1, 'V-D13-BUCG': 1, 'V-BSK-NYND-NGBVC-SWN': 2, '600-KB UFLYO': 5, '600-KD UFLYO': 8, '600-KB': 25, 'VCS-TATA ELEXI-10 HSK-TELX': 1, 'MF-4': 15, '410-F': 10, 'V-KGR-NYD-BSK': 5, '501-BH BSK-BMT45': 1, 'V-D13-NBVDPT': 1, 'VCS-JFWTC-02 NBVDPT-JFWTC GE': 1, '410-K NMG-BSK': 1, '410-T': 6, '410-FC': 24, '410-FC BSK-GGP': 1, 'V-KGR-NYD-HBL': 2, 'V-501A BSK-AIT': 2, '501-F': 19, '410-PS': 14, 'V-500KB': 16, 'PLO-VLS': 1, 'V-BSK-NYD-AIT': 1, '410--J': 23, 'ITPL-5T': 1, 'D10G-BSK': 3, '13-J': 15}"
Janatha Bazaar Banashankari,12.92831264,77.54575018,596,29171002,"{'43-E SNBS-SVN': 2, 'CSB-MTR': 4, 'ACC B-56': 2, 'D13G-RRN': 2, '374-F': 12, 'D13G-BSN': 1, '510-A': 30, 'KMK-VSD': 1, 'BSK-SNR': 5, 'BSK-D12G': 7, 'BSK-BSN': 11, 'D25-SNR': 2, 'HSRC-GBV': 3, 'D13G-KNGC': 4, 'D13G-SWN': 3, 'D13G-VBN': 1, '500-DH': 22, 'ATB-BBS': 4, 'CHAKRA-3A': 27, 'BSK-GRNE': 4, '410-FA': 43, '501-BH': 24, 'BSK-HSKH': 1, 'BSK-BSK3': 0, 'JNR4T-SNR': 2, 'BSK-NDH-BEML5': 5, '45-D': 50, '410-FB': 11, 'JNR4T-GNR2': 3, 'BSK-GNE': 1, '401-S': 6, 'BTP-ITPL': 7, 'BSK-DPJN': 5, '501-B': 7, '410-FC BSK-TVK': 3, 'BSK-NDH-GKW': 1, '410-G': 19, 'BSK-MTR': 4, '600-KD ELCW-SMH': 1, 'D13G-SVB': 2, '226-H': 11, 'D13G-BUCG': 2, 'KRP-MRH-BSK-MTR': 3, 'KRPRS-HSK': 2, 'NICE-3A': 5, 'PPLO-AGS-KBS': 2, 'PPLO-HKH': 2, 'CAPGR-18': 2, 'BSK-JHC': 13, 'JBS-HNR-KMT': 2, 'BSK-MNNK': 1, 'BSK-VPS': 2, 'D13G-MCTC': 4, 'PNN-RVCL': 1, 'PPLO-AGS-SBS': 1, 'BSK-NBC-CLO-VJN': 2, 'PPLO-SVN': 1, 'HBL-RRN BEML5': 6, 'PPLO-KMT-KBS': 3, 'BTT-VSD-SBS': 1, '502 MRHB-KHBQ': 2, 'V-SVM-CSB-BSK': 1, 'MF-19A': 18, 'MF-20': 28, 'PPLO-NDHMS': 1, 'V-BNP-BSK-SCR': 6, '410-FA BSK-SMH': 5, '410-K BSK-PSB': 2, 'V-D13-BUCG': 1, 'V-BSK-NYND-NGBVC-SWN': 2, '410-F': 10, '501-BH BSK-BMT45': 1, 'SGH-BSK-SNR': 4, '45-G D13G-KBS': 15, 'V-D13-NBVDPT': 1, '410-T': 6, '410-FC': 24, '410-FC BSK-GGP': 1, 'V-501A BSK-AIT': 2, '501-F': 19, 'V-BSK-NYD-AIT': 1, '410--J': 23, '13-J': 15}"
PES College Outer Ring Road,12.93479065,77.53710374,601,29171002,"{'CSB-MTR': 4, 'ACC B-56': 2, 'D13G-RRN': 2, '374-F': 12, 'D13G-BSN': 1, '43-H': 15, '510-A': 30, 'HSKH-DPJN': 2, '43-M': 11, 'BSK-D12G': 7, 'BSK-BSN': 11, 'HSRC-GBV': 3, 'D13G-KNGC': 4, 'D13G-SWN': 3, 'D13G-VBN': 1, '225-B JNN-KHBQ': 5, 'ATB-BBS': 4, 'CHAKRA-3A': 27, '43-D': 16, '410-FA': 43, '501-BH': 24, 'BSK-NDH-BEML5': 5, '34-C': 3, '410-FB': 11, '401-S': 6, 'BTP-ITPL': 7, 'BSK-DPJN': 5, '501-B': 7, '410-FC BSK-TVK': 3, 'BSK-NDH-GKW': 1, '410-G': 19, 'BSK-MTR': 4, '43-J': 15, '600-KD ELCW-SMH': 1, '226-H': 11, 'D13G-BUCG': 2, 'KRP-MRH-BSK-MTR': 3, 'D33-AGSL-VBN': 1, 'NICE-3A': 5, 'BSK-JHC': 13, 'BSK-MNNK': 1, 'BSK-VPS': 2, 'D13G-MCTC': 4, 'PNN-RVCL': 1, 'BSK-NBC-CLO-VJN': 2, 'HBL-RRN BEML5': 6, 'V-PESC-KBS': 1, '502 MRHB-KHBQ': 2, '45-G KBS-PESC': 1, 'MF-19A': 18, 'MF-20': 28, 'MF-16A': 35, 'PPLO-NDHMS': 1, 'MF-16': 35, '410-FA BSK-SMH': 5, '410-K BSK-PSB': 2, 'SBS-HNR-VJN': 1, 'MF-16A SBS-VJN': 1, 'V-D13-BUCG': 1, 'V-BSK-NYND-NGBVC-SWN': 2, '410-F': 10, '501-BH BSK-BMT45': 1, 'V-D13-NBVDPT': 1, '410-T': 6, '410-FC': 24, '410-FC BSK-GGP': 1, 'V-501A BSK-AIT': 2, '501-F': 19, 'V-BSK-NYD-AIT': 1, '410--J': 23}"
Banashankari 3rd Stage 2nd Phase,12.93401902,77.53991560,181,29171003,"{'43-E SNBS-SVN': 2, 'TR-7': 9, '43-E': 32, 'SGH-BSK3': 1, 'BSK3-AGSL': 1, '500-DH': 22, '3-E': 24, '3-B': 2, 'BSK-BSK3': 0, 'BSK3-IXP': 2, 'IXP-BSK3': 2, 'BSK3-KMT': 5, 'BSK3-MRNB': 2, 'V-500CH': 29, 'CS-HSS-BSK3rd': 1, '34-A': 12, 'D13G-SVB': 2, 'SVN-PPLO': 1, 'PPLO-SVN': 1, 'BSK3-SGH': 1, '13-E': 30}"
Dwarakanagara Hoskerehalli,12.93373771,77.53890607,417,29171003,"{'CSB-MTR': 4, '374-F': 12, 'D13G-BSN': 1, '43-H': 15, '510-A': 30, 'HSKH-DPJN': 2, 'BSK-D12G': 7, 'BSK-BSN': 11, 'HSRC-GBV': 3, 'D13G-VBN': 1, '225-B JNN-KHBQ': 5, 'ATB-BBS': 4, 'CHAKRA-3A': 27, '43-D': 16, '410-FA': 43, '501-BH': 24, 'BSK-NDH-BEML5': 5, '34-C': 3, '410-FB': 11, '401-S': 6, '501-B': 7, '410-FC BSK-TVK': 3, 'BSK-NDH-GKW': 1, '410-G': 19, 'BSK-MTR': 4, '43-J': 15, '600-KD ELCW-SMH': 1, '226-H': 11, 'NICE-3A': 5, 'BSK-JHC': 13, 'D13G-MCTC': 4, 'BSK-NBC-CLO-VJN': 2, 'HBL-RRN BEML5': 6, '410-FA BSK-SMH': 5, '410-K BSK-PSB': 2, 'V-D13-BUCG': 1, 'V-BSK-NYND-NGBVC-SWN': 2, '410-F': 10, '501-BH BSK-BMT45': 1, 'V-D13-NBVDPT': 1, '410-T': 6, '410-FC': 24, '410-FC BSK-GGP': 1, '501-F': 19, 'V-BSK-NYD-AIT': 1, '410--J': 23}"
Hoskerehalli,12.93030789,77.53956987,120,29171003,"{'346-T': 6, 'CVB-HKH': 1, 'HKH-KBS': 6, '43-B': 46, 'HSKH-DPJN': 2, '201-P': 1, 'BSK-HSKH': 1, '349-C': 19, 'D3-HKH': 1, 'SNBS-HKH': 1, 'HSK SVN-SNBS': 1, 'KBS-GSHED-HSK': 1, 'PPLO-HKH': 2, 'AS-17': 14, '13-J': 15, 'KMT-HSK': 3}"
Hoskerehalli Cross,12.93032903,77.54355905,932,29171003,"{'346-T': 6, 'SNR-HLS': 3, 'JPV-45E': 7, 'CVB-HKH': 1, 'KMT-HKHR': 1, '201-H': 13, 'ABP-BSK': 9, 'HKH-KBS': 6, '45-F KBS-CKA': 1, '43-B': 46, 'ITPL-3N': 2, 'TR-7': 9, '43-H': 15, 'KMK-VSD': 1, 'SNR-KRM': 6, '46-A': 22, '45-E': 39, 'BSK-SNR': 5, '43-M': 11, '201-N': 29, '43-E': 32, 'D25-SNR': 2, 'SGH-BSK3': 1, '225-B JNN-KHBQ': 5, '45-J': 39, '500-DH': 22, '45-B': 29, '43-D': 16, '225-B': 6, '3-E': 24, '3-B': 2, 'JNR4T-SNR': 2, '225-B KHBQ-JNN': 6, '45-A': 20, '34-C': 3, '45-D': 50, 'JNR4T-GNR2': 3, 'CRS-PPLO': 3, '201-B': 11, '349-C': 19, 'D3-HKH': 1, 'BSK-GNE': 1, '43-C': 26, '45-F': 40, 'SNBS-HKH': 1, 'BSK3-IXP': 2, 'IXP-BSK3': 2, 'BSK3-KMT': 5, 'AGO-AGL': 1, '45-K': 13, '201-G BSK-DMLR': 8, '201-E': 10, '43-J': 15, '34-A': 12, 'CKA-KBS-GKVK': 3, '45-G': 46, 'KBS-GSHED-HSK': 1, 'PPLO-AGS-KBS': 2, '255 YTTMC-MTH': 4, 'KBS-AGS-PPLO': 6, 'JBS-HNR-KMT': 2, 'KMT-HNR-JBS': 2, 'PPLO-AGS-SBS': 1, 'AS-17': 14, 'KBS-AGSL-PPLO': 12, 'SBS-HNR-AGSL': 2, 'KBS-GSHR-AGSLO': 2, 'PPLO-KMT-KBS': 3, 'BTT-VSD-SBS': 1, '45-G KBS-PESC': 1, 'MF-16A': 35, '60-F DPJN-CKA': 1, 'HKLO-JCR-VSD-SBS': 1, 'MF-16A SBS-VJN': 1, 'GNR-CSB-KDG': 2, 'SBS-HNR-PPLO': 1, 'V-45G': 4, 'SGH-BSK-SNR': 4, 'V-Seetha Circle-KDG': 1, '600-C SNR-CPR': 1, 'BSK3-SGH': 1, 'KMT-HSK': 3}"
Hoskerehalli Petrol Bunk,12.93290845,77.54016280,1459,29171003,"{'346-T': 6, 'KMT-HKHR': 1, '501-GA': 39, '501-GA BSN-AGR': 2, 'HKH-KBS': 6, 'CSB-MTR': 4, 'ACC B-56': 2, 'D13G-RRN': 2, '374-F': 12, '500-J': 17, 'BTP-105': 0, 'D13G-BSN': 1, '43-H': 15, 'BEML5-NDH-BSK': 0, '510-A': 30, '500-KB': 11, 'ABP-BSK': 9, '600-K': 19, '600-KA': 12, '600-KC': 5, '43-M': 11, 'BSK-D12G': 7, 'BSN-NDH-BSK': 3, '201-P': 1, '501-A': 38, '223-J': 9, '500-KE': 15, 'BSK-BSN': 11, 'HSRC-GBV': 3, 'BDD-ITPL': 2, 'D13G-KNGC': 4, 'D13G-SWN': 3, 'D13G-VBN': 1, '225-B JNN-KHBQ': 5, 'D21G-D': 1, 'ATB-BBS': 4, 'CHAKRA-3A': 27, '43-D': 16, '225-B': 6, 'KWS-BGR': 1, '410-FA': 43, '501-BH': 24, 'BSK-HSKH': 1, '225-B KHBQ-JNN': 6, 'BSK-NDH-BEML5': 5, '34-C': 3, '410-FB': 11, 'V-600K': 31, '410-J D31G-JBS': 4, 'D3-HKH': 1, '43-C': 26, '401-S': 6, 'BTP-ITPL': 7, 'BSK-DPJN': 5, '501-B': 7, 'V-600KA': 3, 'D34G-UTH-BSK': 5, 'V-600KB': 13, 'SNBS-HKH': 1, '410-FC BSK-TVK': 3, 'BSK-NDH-GKW': 1, '410-A': 18, 'MBS-24': 3, '501 KGR-JPN6': 2, 'BEML5-BMH': 0, 'CLO-BSK': 8, '600-F D31G-ATB': 3, '410-G': 19, 'CHAKRA-3': 21, 'PSB-ATB': 1, 'V-500KE': 28, 'BDD-MKNHL': 1, 'BSK-MTR': 4, '43-J': 15, '600-KD SMH-ELCW': 1, '600-KD ELCW-SMH': 1, 'D13G-SVB': 2, '226-H': 11, 'YTTMC-BSK': 4, 'D13G-BUCG': 2, 'KRP-MRH-BSK-MTR': 3, 'MTR-BSK-MRHB-KRP': 3, 'V-500KC': 28, 'D33-AGSL-VBN': 1, 'KRPRS-HSK': 2, 'NICE-3A': 5, 'KBS-GSHED-HSK': 1, '201-M': 28, 'V-600KC': 7, 'PTH-BSK': 3, 'MCTC-BSK': 11, 'BSK-JHC': 13, 'KGRRO-KDG': 4, '502 BSN-KDG': 2, 'BSK-MNNK': 1, 'NDH MF-1': 33, 'BELGS-13': 2, '410 D31-CSB': 1, 'BSK-VPS': 2, 'MF-12': 51, 'D13G-MCTC': 4, 'PNN-RVCL': 1, '410 PSB-BMH': 8, 'MTR-MRHB-KDG': 2, 'VBN-PPLO': 1, '401-SA': 8, '401-BA': 20, 'HBL-RRN BEML5': 6, 'VCS-MEBP-22A VRBN-MEBP': 3, 'KGR-CSB-MRHB-HBL': 2, 'V-KHBC-BSK': 6, '410-K': 38, '600-KD': 17, '234-B': 2, '502 MRHB-KHBQ': 2, 'V-500KS': 33, 'VPS-1': 2, 'VCS-AMD-10 UTH-AMD': 1, 'VNS-2': 2, '45-G KBS-PESC': 1, 'JVS-4': 5, 'MF-19': 18, 'MF-19A': 18, 'MF-20': 28, 'MF-16A': 35, '410-E': 7, 'PPLO-NDHMS': 1, 'HPN-ACCB7': 2, 'BTP-47A': 2, 'ITPL-1A': 1, 'BTP-47B': 2, 'KGR-NDH-BSK': 3, 'KGRPS-NDH-BSK': 2, 'DPJN-PESIT-BSK': 2, '410-FA BSK-SMH': 5, 'BSN-BSK': 11, '410 DPJN-BMH': 3, '600-FD': 19, '600-FD DPJN-ATB': 1, '410-K BSK-PSB': 2, 'MF-16A SBS-VJN': 1, 'V-BUCG-KGR-NDH-BSK-CSB-MRHB': 1, 'V-D13-BUCG': 1, 'V-BSK-NYND-NGBVC-SWN': 2, '600-KB UFLYO': 5, '600-KD UFLYO': 8, '600-KB': 25, 'VCS-TATA ELEXI-10 HSK-TELX': 1, 'MF-4': 15, '410-F': 10, 'V-KGR-NYD-BSK': 5, '501-BH BSK-BMT45': 1, 'V-D13-NBVDPT': 1, 'VCS-JFWTC-02 NBVDPT-JFWTC GE': 1, '410-K NMG-BSK': 1, '410-T': 6, '410-FC': 24, '410-FC BSK-GGP': 1, 'V-KGR-NYD-HBL': 2, 'V-501A BSK-AIT': 2, '501-F': 19, '410-PS': 14, 'V-500KB': 16, 'PLO-VLS': 1, 'V-BSK-NYD-AIT': 1, '410--J': 23, 'ITPL-5T': 1, 'D10G-BSK': 3, '13-J': 15}"
Hoskerehalli Srinivasa Kalyana Mantapa,12.92579912,77.54423179,117,29171003,"{'45-D': 50, 'D33-AGSL-VBN': 1, 'AGSL-BSK-SBS': 8, 'PPLO-AGS-KBS': 2, 'PPLO-HKH': 2, '600-FB': 19, 'PPLO-KTG-CKA': 1, 'PPLO-AGS-SBS': 1, 'PPLO-SVN': 1, 'PPLO-KMT-KBS': 3, 'MF-20': 28, 'PPLO-NDHMS': 1}"
Ittamadu Cross,12.92782025,77.54608969,115,29171003,"{'13-H': 17, '45-D': 50, 'BSK-AGL': 1, 'D33-AGSL-VBN': 1, 'SBS-BSK-BDA-AGSL': 6, 'AGSL-BSK-SBS': 8, 'PPLO-HKH': 2, '600-FB': 19, 'KBS-AGS-PPLO': 6, 'PPLO-KTG-CKA': 1, 'VBN-PPLO': 1, 'SBS-HNR-AGSL': 2, 'SBS-HNR-PPLO': 1}"
Ittamadu Hoskerehalli,12.92399791,77.54363159,117,29171003,"{'45-D': 50, 'D33-AGSL-VBN': 1, 'AGSL-BSK-SBS': 8, 'PPLO-AGS-KBS': 2, 'PPLO-HKH': 2, '600-FB': 19, 'PPLO-KTG-CKA': 1, 'PPLO-AGS-SBS': 1, 'PPLO-SVN': 1, 'PPLO-KMT-KBS': 3, 'MF-20': 28, 'PPLO-NDHMS': 1}"
Janatha Bazaar Banashankari,12.92831264,77.54575018,596,29171003,"{'43-E SNBS-SVN': 2, 'CSB-MTR': 4, 'ACC B-56': 2, 'D13G-RRN': 2, '374-F': 12, 'D13G-BSN': 1, '510-A': 30, 'KMK-VSD': 1, 'BSK-SNR': 5, 'BSK-D12G': 7, 'BSK-BSN': 11, 'D25-SNR': 2, 'HSRC-GBV': 3, 'D13G-KNGC': 4, 'D13G-SWN': 3, 'D13G-VBN': 1, '500-DH': 22, 'ATB-BBS': 4, 'CHAKRA-3A': 27, 'BSK-GRNE': 4, '410-FA': 43, '501-BH': 24, 'BSK-HSKH': 1, 'BSK-BSK3': 0, 'JNR4T-SNR': 2, 'BSK-NDH-BEML5': 5, '45-D': 50, '410-FB': 11, 'JNR4T-GNR2': 3, 'BSK-GNE': 1, '401-S': 6, 'BTP-ITPL': 7, 'BSK-DPJN': 5, '501-B': 7, '410-FC BSK-TVK': 3, 'BSK-NDH-GKW': 1, '410-G': 19, 'BSK-MTR': 4, '600-KD ELCW-SMH': 1, 'D13G-SVB': 2, '226-H': 11, 'D13G-BUCG': 2, 'KRP-MRH-BSK-MTR': 3, 'KRPRS-HSK': 2, 'NICE-3A': 5, 'PPLO-AGS-KBS': 2, 'PPLO-HKH': 2, 'CAPGR-18': 2, 'BSK-JHC': 13, 'JBS-HNR-KMT': 2, 'BSK-MNNK': 1, 'BSK-VPS': 2, 'D13G-MCTC': 4, 'PNN-RVCL': 1, 'PPLO-AGS-SBS': 1, 'BSK-NBC-CLO-VJN': 2, 'PPLO-SVN': 1, 'HBL-RRN BEML5': 6, 'PPLO-KMT-KBS': 3, 'BTT-VSD-SBS': 1, '502 MRHB-KHBQ': 2, 'V-SVM-CSB-BSK': 1, 'MF-19A': 18, 'MF-20': 28, 'PPLO-NDHMS': 1, 'V-BNP-BSK-SCR': 6, '410-FA BSK-SMH': 5, '410-K BSK-PSB': 2, 'V-D13-BUCG': 1, 'V-BSK-NYND-NGBVC-SWN': 2, '410-F': 10, '501-BH BSK-BMT45': 1, 'SGH-BSK-SNR': 4, '45-G D13G-KBS': 15, 'V-D13-NBVDPT': 1, '410-T': 6, '410-FC': 24, '410-FC BSK-GGP': 1, 'V-501A BSK-AIT': 2, '501-F': 19, 'V-BSK-NYD-AIT': 1, '410--J': 23, '13-J': 15}"
Banashankari 3rd Stage 2nd Phase,12.93401902,77.53991560,181,29171004,"{'43-E SNBS-SVN': 2, 'TR-7': 9, '43-E': 32, 'SGH-BSK3': 1, 'BSK3-AGSL': 1, '500-DH': 22, '3-E': 24, '3-B': 2, 'BSK-BSK3': 0, 'BSK3-IXP': 2, 'IXP-BSK3': 2, 'BSK3-KMT': 5, 'BSK3-MRNB': 2, 'V-500CH': 29, 'CS-HSS-BSK3rd': 1, '34-A': 12, 'D13G-SVB': 2, 'SVN-PPLO': 1, 'PPLO-SVN': 1, 'BSK3-SGH': 1, '13-E': 30}"
Dattatreyanagara Hoskerehalli,12.92326067,77.54042231,0,29171004,{}
Dwarakanagara Hoskerehalli,12.93373771,77.53890607,417,29171004,"{'CSB-MTR': 4, '374-F': 12, 'D13G-BSN': 1, '43-H': 15, '510-A': 30, 'HSKH-DPJN': 2, 'BSK-D12G': 7, 'BSK-BSN': 11, 'HSRC-GBV': 3, 'D13G-VBN': 1, '225-B JNN-KHBQ': 5, 'ATB-BBS': 4, 'CHAKRA-3A': 27, '43-D': 16, '410-FA': 43, '501-BH': 24, 'BSK-NDH-BEML5': 5, '34-C': 3, '410-FB': 11, '401-S': 6, '501-B': 7, '410-FC BSK-TVK': 3, 'BSK-NDH-GKW': 1, '410-G': 19, 'BSK-MTR': 4, '43-J': 15, '600-KD ELCW-SMH': 1, '226-H': 11, 'NICE-3A': 5, 'BSK-JHC': 13, 'D13G-MCTC': 4, 'BSK-NBC-CLO-VJN': 2, 'HBL-RRN BEML5': 6, '410-FA BSK-SMH': 5, '410-K BSK-PSB': 2, 'V-D13-BUCG': 1, 'V-BSK-NYND-NGBVC-SWN': 2, '410-F': 10, '501-BH BSK-BMT45': 1, 'V-D13-NBVDPT': 1, '410-T': 6, '410-FC': 24, '410-FC BSK-GGP': 1, '501-F': 19, 'V-BSK-NYD-AIT': 1, '410--J': 23}"
Hoskerehalli,12.93030789,77.53956987,120,29171004,"{'346-T': 6, 'CVB-HKH': 1, 'HKH-KBS': 6, '43-B': 46, 'HSKH-DPJN': 2, '201-P': 1, 'BSK-HSKH': 1, '349-C': 19, 'D3-HKH': 1, 'SNBS-HKH': 1, 'HSK SVN-SNBS': 1, 'KBS-GSHED-HSK': 1, 'PPLO-HKH': 2, 'AS-17': 14, '13-J': 15, 'KMT-HSK': 3}"
